schule;stadt;bundesland;schulleitung;email;quelle;status
Lise-Meitner-Gymnasium;Königsbach-Stein;BW;Hartmut Westje-Bachmann;schule@lmg-bzk.de;lmg-koenigsbach.de;verified
Georg-von-Giesche-Gymnasium;Berlin (Schöneberg);BE;Heike Briesemeister;kontakt@georg-von-giesche-schule.de;gvg.georg-von-giesche-schule.de;verified
Justus-Knecht-Gymnasium;Bruchsal;BW;Andrea Mutter;mut@jkg-bruchsal.de;jkg-bruchsal.de Impressum;verified
Alexander-von-Humboldt-Gymnasium;Konstanz;BW;Thomas Armbruster;direktion@humboldt.konstanz.de;humboldt-konstanz.de;verified
Albert-Schweitzer-Gymnasium;Laichingen;BW;Torben Stolze;asg@asg-laichingen.de;asg-laichingen.de;verified
Matthias-Claudius-Gymnasium;Gehrden;NI;Christian Schmidt;sekretariat@mcg-gehrden.de;mcg.gehrden.de;verified
Bunsen-Gymnasium;Heidelberg;BW;Volker Nürk;bunsen-gymnasium@schulen.heidelberg.de;bunsen-gymnasium.de;verified
Hölderlin-Gymnasium;Heidelberg;BW;Dr. Andrea Merger;sekretariat@hoelderlin-heidelberg.de;hoelderlin-heidelberg.de;verified
Helmholtz-Gymnasium;Heidelberg;BW;Verena Mechelk;helmholtz-gymnasium@heidelberg.schule.bwl.de;helmholtz-heidelberg.de;verified
Gymnasium Bammental;Bammental;BW;Dr. Benedikt Mancini;mb@gymnasium-bammental.de;gymnasium-bammental.eu;verified
Hohenstaufen-Gymnasium;Eberbach;BW;Anja Katzner;sekretariat@hsg-eberbach.de;hsg-eberbach.de;verified
Dietrich-Bonhoeffer-Gymnasium;Eppelheim;BW;Thomas Becker;dbg-sekretariat@eppelheim.de;eppelheim.de/dbg;verified
Max-Born-Gymnasium;Neckargemünd;BW;Joachim Philipp;sekretariat@mbgym.de;mbgym.de;verified
Friedrich-Ebert-Gymnasium;Sandhausen;BW;Alexander Wüst;sl.gym@feg-sandhausen.de;feg-sandhausen.de;verified
Wilhelmi-Gymnasium;Sinsheim;BW;Alexandra Meng-Emmerich;wilhelmi-gymnasium@sinsheim.de;wilhelmi-sinsheim.de;verified
Gymnasium Walldorf;Walldorf;BW;Jürgen Brunsch;brunsch@gymnasium-walldorf.de;gymnasium-walldorf.de;verified
Ottheinrich-Gymnasium;Wiesloch;BW;Christian Annuschat;info@ohgw.de;ohgw.de;verified
Adolf-Schmitthenner-Gymnasium;Neckarbischofsheim;BW;(Schulleitung);asg.neckarbischofsheim@t-online.de;asgnet.de;verified
Realschule Eberbach;Eberbach;BW;Markus Hanke;info@rseberbach.de;rseberbach.de;verified
Humboldt-Realschule;Eppelheim;BW;Michael Mercatoris;hrse@eppelheim.de;humboldt-eppelheim.de;verified
Kraichgau-Realschule;Sinsheim;BW;(Schulleitung);schulleitung@04118667.schule.bwl.de;kraichgau-realschule.de;verified
Otto-Graf-Realschule;Leimen;BW;Martin Albrecht;realschule@leimen.de;realschule-leimen.de;verified
Realschule Waibstadt;Waibstadt;BW;(Schulleitung);schulleitung@04118679.schule.bwl.de;realschule-waibstadt.de;verified
Bertha-Benz-Realschule;Wiesloch;BW;Andreas Herbold;sekretariat@realschule-wiesloch.de;realschule-wiesloch.de;verified
Löwenrot-Gymnasium;St. Leon-Rot;BW;(Schulleitung);info@loewenrot.de;loewenrot-gymnasium.de;verified
Parkringschule;St. Leon-Rot;BW;(Rektor);rektor@parkringschule.de;parkringschule.de;verified
Albert-Schweitzer-Schule;Sinsheim;BW;Dr. Christian Mellwig;sekretariat@ass-sinsheim.de;ass-sinsheim.de;verified
Gregor-Mendel-Realschule;Heidelberg;BW;Frau Rauh;schulleitung@gregor-mendel-realschule.de;gregor-mendel-realschule.de;verified
Carl-Bosch-Schule;Heidelberg;BW;J.-P. Misch;j.misch@cbs-heidelberg.de;cbs-heidelberg.de;verified
Johannes-Kepler-Realschule;Heidelberg;BW;(Schulleitung);kontakt@jkr-heidelberg.de;jkr-heidelberg.de;verified
Marie-Baum-Schule;Heidelberg;BW;Ralf Hein;sekretariat@mbs-hd.de;mbs-hd.de;verified
Gymnasium Goetheschule;Einbeck;NI;(Schulleitung);goetheschule-einbeck@t-online.de;goetheschule-einbeck.de;verified
