Schule;Schulform;Schulleitung;E-Mail;Telefon;Homepage
Emilie-Wüstenfeld-Gymnasium;Gymnasium;Florian Wessel;emilie-wuestenfeld-gymnasium@bsfb.hamburg.de;+49 40 428 88 05-0;https://ewg-hamburg.de
Geschwister-Scholl-Stadtteilschule;Stadtteilschule;Dirk Voss;geschwister-scholl-stadtteilschule@bsfb.hamburg.de;+49 40 428 85-602;https://gsst.hamburg.de
Goethe-Gymnasium;Gymnasium;Frank Scherler;goethe-gymnasium@bsfb.hamburg.de;+49 40 428 93 38-0;https://goethe-hamburg.de
Grund- und Stadtteilschule Alter Teichweg;Grundschule|Stadtteilschule|vorschulische Sprachförderung|Vorschulklasse;Björn Lengwenus;stadtteilschule-alter-teichweg@bsfb.hamburg.de;+49 40 428 97 70;https://atw-hamburg.de
Grund- und Stadtteilschule Eppendorf;Grundschule|Stadtteilschule|vorschulische Sprachförderung|Vorschulklasse;Theres Lea Paffrath;grund-undstadtteilschuleeppendorf@bsfb.hamburg.de;+49 40 428 82-20;https://gseppendorf.de
Gymnasium Altona;Gymnasium;Anja Lindenau;Gymnasium-Altona@bsfb.hamburg.de;+49 40 428 970-0;https://gymaltona.de
Gymnasium Dörpsweg;Gymnasium;Matthias Peters;gymnasium-doerpsweg@bsfb.hamburg.de;+49 40 428 96 36-0;https://gd.hamburg.de
Gymnasium Eppendorf;Gymnasium;Maike Languth;Gymnasium-Eppendorf@bsfb.hamburg.de;+49 40 428 972 - 0;https://gymnasium-eppendorf.de
Gymnasium Hoheluft;Gymnasium;Pia Brüntrup;gymnasium-hoheluft@bsfb.hamburg.de;+49 40 428 88 48 0;https://gymnasium-hoheluft.de
Gymnasium Oberalster;Gymnasium;Martin Widmann;gymnasium-oberalster@bsfb.hamburg.de;+49 40 428 93 46-0;https://gymnasium-oberalster.de
Gymnasium Rissen;Gymnasium;Kirsten Nicklaus;gymnasium-rissen@bsfb.hamburg.de;+49 40 428 93 14-0;https://gymnasium-rissen.de/
Gyula Trebitsch Schule Tonndorf;Gymnasium|Stadtteilschule;Oliver Lerch;gyula-trebitsch-schule-tonndorf@bsfb.hamburg.de;+49 40 428 93 25-0;https://gtst.hamburg.de
Heinrich-Heine-Gymnasium;Gymnasium;Christian Borck;heinrich-heine-gymnasium@bsfb.hamburg.de;+49 40 428 86 81 0;https://heinegym.de
Heinrich-Hertz-Schule;Gymnasium|Stadtteilschule;Susanne Hilbig-Rehder;heinrich-hertz-schule@bsfb.hamburg.de;+49 40 428 891-132;https://heinrich-hertz-schule-hamburg.de
Immanuel-Kant-Gymnasium;Gymnasium;Jens Kappelhoff;Immanuel-Kant-Gymnasium@bsfb.hamburg.de;+49 40 428 9341-0;https://immanuel-kant-gymnasium.de
Irena-Sendler-Schule;Stadtteilschule;Kerstin Ollenhauer;irena-sendler-schule@bsfb.hamburg.de;+49 40 428 86 93-0;https://irena-sendler-schule.hamburg.de
Marion Dönhoff Gymnasium;Gymnasium;Christian Gefert;marion-doenhoff-gymnasium@bsfb.hamburg.de;+49 40 428 93 42-0;https://marion-doenhoff-gymnasium.de
Matthias-Claudius-Gymnasium;Gymnasium;Carsten Griese;matthias-claudius-gymnasium@bsfb.hamburg.de;+49 40 428 76 22 10;https://matthias-claudius-gymnasium.de
Stadtteilschule Bergedorf;Doppeltqualifizierender Bildungsgang|Stadtteilschule;Thimo Witting;stadtteilschule-bergedorf@bsfb.hamburg.de;+49 40 428 925-0;https://sts-bergedorf.de/
Stadtteilschule Bergstedt;Stadtteilschule;Alexander Rebers;Stadtteilschule-Bergstedt@bsfb.hamburg.de;+49 40 428 93 82-0;https://bergstedt.hamburg.de/
Stadtteilschule Eidelstedt;Stadtteilschule;Benjamin Ehlers;stadtteilschule-eidelstedt@bsfb.hamburg.de;+49 40 428 79 6-0;https://stadtteilschule-eidelstedt.de
Stadtteilschule Meiendorf;Stadtteilschule;Carsten Bliesener;stadtteilschule-meiendorf@bsfb.hamburg.de;+49 40 428 93 08-0;https://sts-meiendorf.hamburg.de
Stadtteilschule Walddörfer;Stadtteilschule;Michael Kraft;stadtteilschule-walddoerfer@bsfb.hamburg.de;+49 40 428 96 92-0;https://stadtteilschule-walddoerfer.de/
Wilhelm-Gymnasium;Gymnasium;Martin Richter;wilhelm-gymnasium@bsfb.hamburg.de;+49 40 428 93 16-0;https://wilhelm-gymnasium.de
Katholische Schule St. Paulus;Grundschule|Stadtteilschule|Vorschulklasse;n/a;sekretariat@kath-schule-st-paulus.kseh.de;+49 40 350 30 30-10;http://www.kath-schule-st-paulus.de
Sankt-Ansgar-Schule;Gymnasium;n/a;sekretariat@sas.kseh.de;+49 40 2 51 734-10;http://www.sankt-ansgar-schule.de
Sophie-Barat-Schule;Gymnasium;n/a;sekretariat@sbshh.de;+49 40 450 229-10;http://www.sophie-barat-schule.de/
